OECD members,OED,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.13846573
Oman,OMN,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.393
Other small states,OSS,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.20548751
Pakistan,PAK,Life expectancy at birth total (years),SP.DYN.LE00.IN,66.947
Panama,PAN,Life expectancy at birth total (years),SP.DYN.LE00.IN,78.149
Peru,PER,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.286
Philippines,PHL,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.952
Palau,PLW,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Papua New Guinea,PNG,Life expectancy at birth total (years),SP.DYN.LE00.IN,64.01
Poland,POL,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.85121951
Pre-demographic dividend,PRE,Life expectancy at birth total (years),SP.DYN.LE00.IN,60.42746691
Puerto Rico,PRI,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.63453659
Korea Dem. People’s Rep.,PRK,Life expectancy at birth total (years),SP.DYN.LE00.IN,71.91
Portugal,PRT,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.12439024
Paraguay,PRY,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.992
West Bank and Gaza,PSE,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.74
Pacific island small states,PSS,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.77428378
Post-demographic dividend,PST,Life expectancy at birth total (years),SP.DYN.LE00.IN,80.61363761
French Polynesia,PYF,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.251
Qatar,QAT,Life expectancy at birth total (years),SP.DYN.LE00.IN,79.981
Romania,ROU,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.3097561
Russian Federation,RUS,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.11902439
Rwanda,RWA,Life expectancy at birth total (years),SP.DYN.LE00.IN,68.341
South Asia,SAS,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.1713119
Saudi Arabia,SAU,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.874
Sudan,SDN,Life expectancy at birth total (years),SP.DYN.LE00.IN,64.881
Senegal,SEN,Life expectancy at birth total (years),SP.DYN.LE00.IN,67.38
Singapore,SGP,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.89512195
Solomon Islands,SLB,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.645
Sierra Leone,SLE,Life expectancy at birth total (years),SP.DYN.LE00.IN,53.895
El Salvador,SLV,Life expectancy at birth total (years),SP.DYN.LE00.IN,72.872
San Marino,SMR,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Somalia,SOM,Life expectancy at birth total (years),SP.DYN.LE00.IN,56.709
Serbia,SRB,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.08780488
Sub-Saharan Africa (excluding high income),SSA,Life expectancy at birth total (years),SP.DYN.LE00.IN,60.87877747
South Sudan,SSD,Life expectancy at birth total (years),SP.DYN.LE00.IN,57.365
Sub-Saharan Africa,SSF,Life expectancy at birth total (years),SP.DYN.LE00.IN,60.88000237
Small states,SST,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.2613898
Sao Tome and Principe,STP,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.933
Suriname,SUR,Life expectancy at birth total (years),SP.DYN.LE00.IN,71.463
Slovak Republic,SVK,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.16585366
Slovenia,SVN,Life expectancy at birth total (years),SP.DYN.LE00.IN,81.17560976
Sweden,SWE,Life expectancy at birth total (years),SP.DYN.LE00.IN,82.30731707
Eswatini,SWZ,Life expectancy at birth total (years),SP.DYN.LE00.IN,58.319
Sint Maarten (Dutch part),SXM,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Seychelles,SYC,Life expectancy at birth total (years),SP.DYN.LE00.IN,74.3
Syrian Arab Republic,SYR,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.967
Turks and Caicos Islands,TCA,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Chad,TCD,Life expectancy at birth total (years),SP.DYN.LE00.IN,53.712
East Asia & Pacific (IDA & IBRD countries),TEA,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.0333589
Europe & Central Asia (IDA & IBRD countries),TEC,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.80835432
Togo,TGO,Life expectancy at birth total (years),SP.DYN.LE00.IN,60.489
Thailand,THA,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.683
Tajikistan,TJK,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.647
Turkmenistan,TKM,Life expectancy at birth total (years),SP.DYN.LE00.IN,67.956
Latin America & the Caribbean (IDA & IBRD countries),TLA,Life expectancy at birth total (years),SP.DYN.LE00.IN,75.19246541
Timor-Leste,TLS,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.007
Middle East & North Africa (IDA & IBRD countries),TMN,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.39013107
Tonga,TON,Life expectancy at birth total (years),SP.DYN.LE00.IN,70.701
South Asia (IDA & IBRD),TSA,Life expectancy at birth total (years),SP.DYN.LE00.IN,69.1713119
Sub-Saharan Africa (IDA & IBRD countries),TSS,Life expectancy at birth total (years),SP.DYN.LE00.IN,60.88000237
Trinidad and Tobago,TTO,Life expectancy at birth total (years),SP.DYN.LE00.IN,73.245
Tunisia,TUN,Life expectancy at birth total (years),SP.DYN.LE00.IN,76.31
Turkey,TUR,Life expectancy at birth total (years),SP.DYN.LE00.IN,77.161
Tuvalu,TUV,Life expectancy at birth total (years),SP.DYN.LE00.IN,..
Tanzania,TZA,Life expectancy at birth total (years),SP.DYN.LE00.IN,64.479
Uganda,UGA,Life expectancy at birth total (years),SP.DYN.LE00.IN,62.516
